# extract, mg_gluta, K_gluta, aa, peg, hepes, trna, coa, nad, camp, folinic_acid, spemidin, pga, nucleo_mix, dna_high_high, dna_high_low, dna_low_high, dna_low_low, water
3.52,0.125,0.125,0.7875,0.525,0.25,0.0625,0.0375,0.0125,0.0125,0.0625,0.0125,0.0675,0.0625,1.75,0,0,0,3.0875
3.52,0.125,0.125,0.7875,0.525,0.25,0.0625,0.0375,0.0125,0.0125,0.0625,0.0125,0.0675,0.0625,1.75,0,0,0,3.0875
3.52,0.125,0.125,0.7875,0.525,0.25,0.0125,0.0625,0.0375,0.0125,0.0625,0.0375,0.0675,0.0625,1.75,0,0,0,3.0625
3.52,0.125,0.125,0.7875,0.525,0.25,0.0125,0.0625,0.0375,0.0125,0.0625,0.0375,0.0675,0.0625,1.75,0,0,0,3.0625
3.52,0.125,0.125,0.7875,0.525,0.25,0.0125,0.0625,0.0375,0.0125,0.0625,0.0375,0.0675,0.0625,1.75,0,0,0,3.0625
3.52,0.25,0.25,0.2625,0.525,0.25,0.0625,0.0625,0.0625,0.0125,0.125,0.125,0.0675,0.125,1.75,0,0,0,3.05
3.52,0.25,0.25,0.2625,0.525,0.25,0.0625,0.0625,0.0625,0.0125,0.125,0.125,0.0675,0.125,1.75,0,0,0,3.05
3.52,0.25,0.25,0.2625,0.525,0.25,0.0625,0.0625,0.0625,0.0125,0.125,0.125,0.0675,0.125,1.75,0,0,0,3.05
3.52,0.125,0.125,0.7875,0.525,0.25,0.0125,0.0125,0.0375,0.0375,0.0625,0.0375,0.1125,0.0625,1.75,0,0,0,3.0425
3.52,0.125,0.125,0.7875,0.525,0.25,0.0125,0.0375,0.0375,0.0125,0.0625,0.0375,0.1125,0.0625,1.75,0,0,0,3.0425
3.52,0.125,0.125,0.7875,0.525,0.25,0.0375,0.0125,0.0625,0.0125,0.0625,0.0125,0.1125,0.0625,1.75,0,0,0,3.0425
3.52,0.125,0.125,0.7875,0.525,0.25,0.0375,0.0125,0.0625,0.0125,0.0375,0.0375,0.1125,0.0625,1.75,0,0,0,3.0425
3.52,0.125,0.125,0.7875,0.525,0.25,0.0125,0.0125,0.0375,0.0375,0.0625,0.0375,0.1125,0.0625,1.75,0,0,0,3.0425
3.52,0.125,0.125,0.7875,0.525,0.25,0.0125,0.0375,0.0375,0.0125,0.0625,0.0375,0.1125,0.0625,1.75,0,0,0,3.0425
3.52,0.125,0.125,0.7875,0.525,0.25,0.0375,0.0125,0.0625,0.0125,0.0625,0.0125,0.1125,0.0625,1.75,0,0,0,3.0425
3.52,0.125,0.125,0.7875,0.525,0.25,0.0375,0.0125,0.0625,0.0125,0.0375,0.0375,0.1125,0.0625,1.75,0,0,0,3.0425
3.52,0.125,0.125,0.7875,0.525,0.25,0.0125,0.0125,0.0375,0.0375,0.0625,0.0375,0.1125,0.0625,1.75,0,0,0,3.0425
3.52,0.125,0.125,0.7875,0.525,0.25,0.0125,0.0375,0.0375,0.0125,0.0625,0.0375,0.1125,0.0625,1.75,0,0,0,3.0425
3.52,0.125,0.125,0.7875,0.525,0.25,0.0375,0.0125,0.0625,0.0125,0.0625,0.0125,0.1125,0.0625,1.75,0,0,0,3.0425
3.52,0.125,0.125,0.7875,0.525,0.25,0.0375,0.0125,0.0625,0.0125,0.0375,0.0375,0.1125,0.0625,1.75,0,0,0,3.0425
3.52,0.25,0.25,0.2625,0.525,0.25,0.125,0.0375,0.125,0.0125,0.0375,0.125,0.0675,0.125,1.75,0,0,0,3.0375
3.52,0.25,0.25,0.2625,0.525,0.25,0.125,0.0375,0.125,0.0125,0.0375,0.125,0.0675,0.125,1.75,0,0,0,3.0375
3.52,0.25,0.25,0.2625,0.525,0.25,0.125,0.0375,0.125,0.0125,0.0375,0.125,0.0675,0.125,1.75,0,0,0,3.0375
3.52,0.125,0.125,0.7875,0.525,0.25,0.0625,0.0125,0.0125,0.0375,0.0625,0.0375,0.1125,0.0625,1.75,0,0,0,3.0175
3.52,0.125,0.125,0.7875,0.525,0.25,0.0625,0.0125,0.0125,0.0375,0.0625,0.0375,0.1125,0.0625,1.75,0,0,0,3.0175
3.52,0.125,0.125,0.7875,0.525,0.25,0.0625,0.0125,0.0125,0.0375,0.0625,0.0375,0.1125,0.0625,1.75,0,0,0,3.0175
3.52,0.25,0.25,0.7875,0.525,0.25,0.0125,0.0375,0.0625,0.0125,0.0125,0.0125,0.0675,0.125,1.75,0,0,0,2.825
